Entity,Code,Year,Living Planet Index
Africa,,1970,100
Africa,,1971,95.46197
Africa,,1972,94.68341500000001
Africa,,1973,99.181175
Africa,,1974,99.384934
Africa,,1975,96.61807999999999
Africa,,1976,92.4302
Africa,,1977,87.26711999999999
Africa,,1978,80.73154
Africa,,1979,76.92542999999999
Africa,,1980,76.90819
Africa,,1981,79.57674
Africa,,1982,76.40778
Africa,,1983,73.15032500000001
Africa,,1984,68.47612
Africa,,1985,63.735693999999995
Africa,,1986,59.79401
Africa,,1987,57.302266
Africa,,1988,56.04172
Africa,,1989,55.163693
Africa,,1990,53.534119999999994
Africa,,1991,52.495760000000004
Africa,,1992,52.553064000000006
Africa,,1993,52.879715000000004
Africa,,1994,53.79903
Africa,,1995,53.20898
Africa,,1996,53.31399999999999
Africa,,1997,52.35895000000001
Africa,,1998,51.48128
Africa,,1999,50.7355
Africa,,2000,49.84782
Africa,,2001,47.79694
Africa,,2002,45.418295
Africa,,2003,43.467075
Africa,,2004,43.0759
Africa,,2005,42.34751
Africa,,2006,41.760892
Africa,,2007,41.764033
Africa,,2008,42.106512
Africa,,2009,42.209774
Africa,,2010,41.113392
Africa,,2011,39.325637
Africa,,2012,36.957404
Africa,,2013,34.51454
Africa,,2014,32.49287
Africa,,2015,31.293574000000003
Africa,,2016,32.054221999999996
Africa,,2017,34.445876
Asia and Pacific,,1970,100
Asia and Pacific,,1971,103.71096
Asia and Pacific,,1972,104.83867000000001
Asia and Pacific,,1973,104.1134
Asia and Pacific,,1974,104.98114999999999
Asia and Pacific,,1975,105.98035999999999
Asia and Pacific,,1976,106.01545999999999
Asia and Pacific,,1977,104.16127
Asia and Pacific,,1978,102.56186000000001
Asia and Pacific,,1979,101.44664000000002
Asia and Pacific,,1980,100.67151999999999
Asia and Pacific,,1981,99.026155
Asia and Pacific,,1982,96.717304
Asia and Pacific,,1983,93.70903
Asia and Pacific,,1984,92.25159000000001
Asia and Pacific,,1985,92.458534
Asia and Pacific,,1986,94.252414
Asia and Pacific,,1987,94.757587
Asia and Pacific,,1988,94.40385
Asia and Pacific,,1989,93.061244
Asia and Pacific,,1990,90.09349
Asia and Pacific,,1991,86.526734
Asia and Pacific,,1992,82.85733499999999
Asia and Pacific,,1993,78.79221
Asia and Pacific,,1994,75.63638999999999
Asia and Pacific,,1995,72.34422
Asia and Pacific,,1996,70.80678
Asia and Pacific,,1997,68.932796
Asia and Pacific,,1998,66.69414
Asia and Pacific,,1999,64.504075
Asia and Pacific,,2000,62.26602
Asia and Pacific,,2001,61.274499999999996
Asia and Pacific,,2002,61.50519
Asia and Pacific,,2003,62.201874999999994
Asia and Pacific,,2004,63.06195
Asia and Pacific,,2005,62.876225
Asia and Pacific,,2006,62.67986
Asia and Pacific,,2007,59.98012000000001
Asia and Pacific,,2008,55.849594
Asia and Pacific,,2009,50.052905
Asia and Pacific,,2010,46.797657
Asia and Pacific,,2011,44.423908
Asia and Pacific,,2012,43.996629999999996
Asia and Pacific,,2013,44.64906
Asia and Pacific,,2014,45.918136999999994
Asia and Pacific,,2015,46.883875
Asia and Pacific,,2016,44.755146
Asia and Pacific,,2017,44.335765
Asia and Pacific,,2018,44.679649999999995
Europe and Central Asia,,1970,100
Europe and Central Asia,,1971,101.27226
Europe and Central Asia,,1972,103.28786000000001
Europe and Central Asia,,1973,105.62783
Europe and Central Asia,,1974,107.57695000000001
Europe and Central Asia,,1975,108.68518
Europe and Central Asia,,1976,109.44718
Europe and Central Asia,,1977,110.94269999999999
Europe and Central Asia,,1978,112.80895
Europe and Central Asia,,1979,113.88322
Europe and Central Asia,,1980,113.81798
Europe and Central Asia,,1981,113.0956
Europe and Central Asia,,1982,113.44912000000001
Europe and Central Asia,,1983,112.00391
Europe and Central Asia,,1984,112.05086
Europe and Central Asia,,1985,111.94302
Europe and Central Asia,,1986,113.95367
Europe and Central Asia,,1987,116.77142
Europe and Central Asia,,1988,121.41253
Europe and Central Asia,,1989,126.9586
Europe and Central Asia,,1990,130.54469
Europe and Central Asia,,1991,130.74106999999998
Europe and Central Asia,,1992,128.74790000000002
Europe and Central Asia,,1993,125.25362
Europe and Central Asia,,1994,121.71162
Europe and Central Asia,,1995,118.51712
Europe and Central Asia,,1996,114.81868
Europe and Central Asia,,1997,111.92477000000001
Europe and Central Asia,,1998,109.07504999999999
Europe and Central Asia,,1999,107.35085
Europe and Central Asia,,2000,106.45916
Europe and Central Asia,,2001,105.06132
Europe and Central Asia,,2002,104.75336
Europe and Central Asia,,2003,104.16095999999999
Europe and Central Asia,,2004,104.87709999999998
Europe and Central Asia,,2005,105.44727
Europe and Central Asia,,2006,105.83016
Europe and Central Asia,,2007,105.57783
Europe and Central Asia,,2008,104.43362
Europe and Central Asia,,2009,104.42815999999999
Europe and Central Asia,,2010,105.53931999999999
Europe and Central Asia,,2011,103.0181
Europe and Central Asia,,2012,98.60531
Europe and Central Asia,,2013,92.27528000000001
Europe and Central Asia,,2014,90.601116
Europe and Central Asia,,2015,88.429743
Europe and Central Asia,,2016,86.1145
Europe and Central Asia,,2017,83.487487
Europe and Central Asia,,2018,82.29153
Freshwater,,1970,100
Freshwater,,1971,98.29372
Freshwater,,1972,97.189265
Freshwater,,1973,96.96878
Freshwater,,1974,94.197947
Freshwater,,1975,90.1231
Freshwater,,1976,85.91758
Freshwater,,1977,82.21316
Freshwater,,1978,78.75618
Freshwater,,1979,76.22495
Freshwater,,1980,74.38991
Freshwater,,1981,73.11067
Freshwater,,1982,69.969213
Freshwater,,1983,66.303223
Freshwater,,1984,62.957823000000005
Freshwater,,1985,60.48363
Freshwater,,1986,58.40696
Freshwater,,1987,55.705594999999995
Freshwater,,1988,52.63198
Freshwater,,1989,51.081663
Freshwater,,1990,49.279016
Freshwater,,1991,47.662228
Freshwater,,1992,45.541835000000006
Freshwater,,1993,43.451172
Freshwater,,1994,41.45049
Freshwater,,1995,38.736326
Freshwater,,1996,37.217679999999994
Freshwater,,1997,34.95773
Freshwater,,1998,33.017623
Freshwater,,1999,30.736649999999997
Freshwater,,2000,29.127118000000003
Freshwater,,2001,27.339613
Freshwater,,2002,25.804477999999996
Freshwater,,2003,24.816589999999998
Freshwater,,2004,24.352142
Freshwater,,2005,24.300851
Freshwater,,2006,23.917997999999997
Freshwater,,2007,23.463419
Freshwater,,2008,22.630517
Freshwater,,2009,21.624906
Freshwater,,2010,20.667347
Freshwater,,2011,19.198847
Freshwater,,2012,18.021935
Freshwater,,2013,17.315143
Freshwater,,2014,17.427954
Freshwater,,2015,17.592992
Freshwater,,2016,17.399606000000002
Freshwater,,2017,17.211238
Freshwater,,2018,17.144190000000002
Latin America and the Caribbean,,1970,100
Latin America and the Caribbean,,1971,101.00716000000001
Latin America and the Caribbean,,1972,99.52311
Latin America and the Caribbean,,1973,95.21222999999999
Latin America and the Caribbean,,1974,89.55635
Latin America and the Caribbean,,1975,83.39783
Latin America and the Caribbean,,1976,78.07280399999999
Latin America and the Caribbean,,1977,73.04378
Latin America and the Caribbean,,1978,69.55935
Latin America and the Caribbean,,1979,67.46533500000001
Latin America and the Caribbean,,1980,65.049887
Latin America and the Caribbean,,1981,62.51380399999999
Latin America and the Caribbean,,1982,58.292376999999995
Latin America and the Caribbean,,1983,53.373234999999994
Latin America and the Caribbean,,1984,49.69776
Latin America and the Caribbean,,1985,46.941832
Latin America and the Caribbean,,1986,44.316828
Latin America and the Caribbean,,1987,40.647778
Latin America and the Caribbean,,1988,37.765262
Latin America and the Caribbean,,1989,35.997015
Latin America and the Caribbean,,1990,34.99576
Latin America and the Caribbean,,1991,33.75261
Latin America and the Caribbean,,1992,32.369485
Latin America and the Caribbean,,1993,30.579263
Latin America and the Caribbean,,1994,28.683861999999998
Latin America and the Caribbean,,1995,26.682833
Latin America and the Caribbean,,1996,25.40863
Latin America and the Caribbean,,1997,24.046503
Latin America and the Caribbean,,1998,22.588177
Latin America and the Caribbean,,1999,20.8281
Latin America and the Caribbean,,2000,19.755171
Latin America and the Caribbean,,2001,18.556382
Latin America and the Caribbean,,2002,17.433499
Latin America and the Caribbean,,2003,16.20749
Latin America and the Caribbean,,2004,15.498991
Latin America and the Caribbean,,2005,15.30814
Latin America and the Caribbean,,2006,15.01258
Latin America and the Caribbean,,2007,14.548460999999998
Latin America and the Caribbean,,2008,13.593334000000002
Latin America and the Caribbean,,2009,11.946083999999999
Latin America and the Caribbean,,2010,10.376488
Latin America and the Caribbean,,2011,8.8097505
Latin America and the Caribbean,,2012,8.114753
Latin America and the Caribbean,,2013,7.750034
Latin America and the Caribbean,,2014,7.7751584
Latin America and the Caribbean,,2015,7.849206000000001
Latin America and the Caribbean,,2016,7.406642
Latin America and the Caribbean,,2017,6.855036
Latin America and the Caribbean,,2018,6.413632
North America,,1970,100
North America,,1971,99.70049
North America,,1972,98.18143
North America,,1973,96.02159999999999
North America,,1974,92.0816
North America,,1975,89.986813
North America,,1976,89.22585
North America,,1977,89.83210299999999
North America,,1978,90.75527
North America,,1979,91.132224
North America,,1980,90.86614
North America,,1981,90.088695
North America,,1982,89.639145
North America,,1983,89.53062
North America,,1984,88.89054
North America,,1985,88.7671
North America,,1986,88.24642
North America,,1987,87.489575
North America,,1988,86.57777300000001
North America,,1989,85.273826
North America,,1990,85.23145
North America,,1991,84.330565
North America,,1992,84.54887
North America,,1993,84.59546999999999
North America,,1994,85.154176
North America,,1995,82.9825
North America,,1996,80.45053
North America,,1997,77.97703
North America,,1998,76.00232
North America,,1999,74.02555
North America,,2000,72.16022600000001
North America,,2001,70.79394500000001
North America,,2002,71.13185
North America,,2003,71.88987999999999
North America,,2004,73.64513000000001
North America,,2005,73.688024
North America,,2006,73.619944
North America,,2007,73.567396
North America,,2008,73.55834
North America,,2009,73.344666
North America,,2010,72.69097
North America,,2011,72.316015
North America,,2012,70.99258
North America,,2013,70.26417000000001
North America,,2014,70.784634
North America,,2015,72.96427
North America,,2016,75.43352
North America,,2017,77.50175999999999
North America,,2018,79.64778
World,OWID_WRL,1970,100
World,OWID_WRL,1971,99.100274
World,OWID_WRL,1972,97.92988299999999
World,OWID_WRL,1973,96.78284000000001
World,OWID_WRL,1974,95.34543
World,OWID_WRL,1975,93.5558
World,OWID_WRL,1976,91.48922
World,OWID_WRL,1977,88.535243
World,OWID_WRL,1978,85.68405
World,OWID_WRL,1979,83.34747999999999
World,OWID_WRL,1980,81.508094
World,OWID_WRL,1981,79.83687499999999
World,OWID_WRL,1982,77.281386
World,OWID_WRL,1983,74.518186
World,OWID_WRL,1984,71.832025
World,OWID_WRL,1985,69.753116
World,OWID_WRL,1986,68.125665
World,OWID_WRL,1987,66.32249
World,OWID_WRL,1988,64.5467
World,OWID_WRL,1989,63.574344
World,OWID_WRL,1990,62.68112
World,OWID_WRL,1991,61.60914
World,OWID_WRL,1992,60.11985
World,OWID_WRL,1993,58.109295
World,OWID_WRL,1994,56.2009
World,OWID_WRL,1995,54.0361
World,OWID_WRL,1996,53.04214
World,OWID_WRL,1997,51.750076
World,OWID_WRL,1998,50.466454000000006
World,OWID_WRL,1999,48.66438
World,OWID_WRL,2000,47.221538
World,OWID_WRL,2001,45.67137
World,OWID_WRL,2002,44.498393
World,OWID_WRL,2003,43.515654999999995
World,OWID_WRL,2004,42.92783
World,OWID_WRL,2005,42.203152
World,OWID_WRL,2006,41.295153
World,OWID_WRL,2007,40.142804
World,OWID_WRL,2008,38.719392
World,OWID_WRL,2009,36.877126
World,OWID_WRL,2010,35.15315
World,OWID_WRL,2011,33.44104
World,OWID_WRL,2012,32.37109
World,OWID_WRL,2013,31.738263
World,OWID_WRL,2014,31.669019999999996
World,OWID_WRL,2015,31.627533000000003
World,OWID_WRL,2016,31.145410000000002
World,OWID_WRL,2017,30.88527
World,OWID_WRL,2018,30.897567