Entity,Products,CO2 (in Tonnes)
Australia,cattle_meat,1767338.3
Australia,other_cereals,89034.21
Australia,other_crops,873074.76
Australia,plant_fibres,101078.23
Australia,rice,879389.07
Australia,sugar,152323.31
Australia,veg_fruits_nuts,1175708.59
Australia,wheat,41496.59
Austria,cattle_meat,750326.26
Austria,oilseed_products,959211.81
Austria,other_cereals,30146.2
Austria,other_crops,226532.92
Austria,plant_fibres,24966.59
Austria,rice,184118.42
Austria,sugar,33453.32
Austria,veg_fruits_nuts,392507.17
Austria,wheat,15495.06
Belgium,cattle_meat,1666691.48
Belgium,other_cereals,86200.38
Belgium,other_crops,1082828.03
Belgium,plant_fibres,106014.55
Belgium,rice,458813.42
Belgium,sugar,85687.04
Belgium,veg_fruits_nuts,1633892.46
Belgium,wheat,50684.96
Brazil,other_cereals,2329114.42
Brazil,plant_fibres,1130639.56
Brazil,wheat,3112053.79
Bulgaria,cattle_meat,74554.72
Bulgaria,oilseed_products,287585.56
Bulgaria,other_cereals,5368.4
Bulgaria,other_crops,93859.3
Bulgaria,plant_fibres,4320.7
Bulgaria,rice,32811.58
Bulgaria,sugar,12265.05
Bulgaria,veg_fruits_nuts,65247.88
Bulgaria,wheat,2691.42
Canada,cattle_meat,2665047.89
Canada,other_cereals,110420.51
Canada,other_crops,2009818.41
Canada,plant_fibres,95454.95
Canada,rice,702091.09
Canada,sugar,154281.65
Canada,veg_fruits_nuts,1593326.98
Canada,wheat,70277.88
China,other_cereals,460586.3
China,plant_fibres,1250616.33
China,sugar,1486521.62
China,wheat,207476.65
Croatia,cattle_meat,117526.96
Croatia,oilseed_products,185067.73
Croatia,other_cereals,5155.45
Croatia,other_crops,43818.45
Croatia,plant_fibres,3297.63
Croatia,rice,28201.6
Croatia,sugar,6320.21
Croatia,veg_fruits_nuts,50624.78
Croatia,wheat,2741.82
Cyprus,cattle_meat,65817.34
Cyprus,oilseed_products,87130.51
Cyprus,other_cereals,3783.88
Cyprus,other_crops,12946.65
Cyprus,plant_fibres,798.44
Cyprus,rice,19470.54
Cyprus,sugar,3942.72
Cyprus,veg_fruits_nuts,23095.76
Cyprus,wheat,2452.11
Czechia,cattle_meat,323900.21
Czechia,oilseed_products,658518.96
Czechia,other_cereals,17658.68
Czechia,other_crops,268878.64
Czechia,plant_fibres,19826.65
Czechia,rice,131315.91
Czechia,sugar,20885.77
Czechia,veg_fruits_nuts,365266.34
Czechia,wheat,9401.03
Denmark,cattle_meat,530664.66
Denmark,oilseed_products,1344172.28
Denmark,other_cereals,23811.47
Denmark,other_crops,123198.81
Denmark,plant_fibres,11731.33
Denmark,rice,159897.35
Denmark,sugar,36390.88
Denmark,veg_fruits_nuts,231565.74
Denmark,wheat,16080.48
Estonia,cattle_meat,79226.79
Estonia,oilseed_products,199731.87
Estonia,other_cereals,6891.43
Estonia,other_crops,56260.04
Estonia,plant_fibres,2472.25
Estonia,rice,23490.02
Estonia,sugar,2747.7
Estonia,veg_fruits_nuts,63735.09
Estonia,wheat,2728.55
Finland,cattle_meat,428946.47
Finland,oilseed_products,868781.61
Finland,other_cereals,17155.39
Finland,other_crops,248907.95
Finland,plant_fibres,9492.54
Finland,rice,120323.7
Finland,sugar,21680.19
Finland,veg_fruits_nuts,189102.68
Finland,wheat,9798.58
France,other_cereals,329848.37
France,other_crops,2335327.29
France,plant_fibres,241861.21
France,rice,1408886.03
France,sugar,231081.73
France,wheat,146767.36
Germany,other_cereals,255080.13
Germany,plant_fibres,299549.16
Germany,rice,1591509.95
Germany,sugar,289798.5
Germany,wheat,141415.86
Greece,cattle_meat,285715.63
Greece,oilseed_products,1525001.71
Greece,other_cereals,19801.75
Greece,other_crops,158710.47
Greece,plant_fibres,16796.61
Greece,rice,97100.86
Greece,sugar,21063.38
Greece,veg_fruits_nuts,203278.84
Greece,wheat,12120.31
Hungary,cattle_meat,173370.19
Hungary,oilseed_products,430540.51
Hungary,other_cereals,10381.32
Hungary,other_crops,121181.2
Hungary,plant_fibres,9688.34
Hungary,rice,64441.7
Hungary,sugar,11351.17
Hungary,veg_fruits_nuts,78865.17
Hungary,wheat,5351.77
India,cattle_meat,3191568.9
India,other_cereals,180430.02
India,plant_fibres,473932.36
India,rice,1580860.06
India,sugar,422958.33
India,wheat,1710670.52
Indonesia,cattle_meat,1546610.03
Indonesia,other_cereals,1824969.9
Indonesia,plant_fibres,313397.15
Indonesia,sugar,2150309.31
Indonesia,wheat,45032.68
Ireland,cattle_meat,419168.36
Ireland,oilseed_products,680178.37
Ireland,other_cereals,26826.75
Ireland,other_crops,144319.6
Ireland,plant_fibres,9988.94
Ireland,rice,178505.01
Ireland,sugar,35859.32
Ireland,veg_fruits_nuts,267782.33
Ireland,wheat,19466.49
Italy,other_cereals,186015.81
Italy,other_crops,2158913.32
Italy,plant_fibres,176637.82
Italy,rice,1011548.69
Italy,sugar,173590.73
Italy,veg_fruits_nuts,1931787.77
Italy,wheat,265430.59
Japan,other_cereals,492804.15
Japan,plant_fibres,305919.71
Japan,rice,2324960.38
Japan,sugar,586785.11
Japan,wheat,115227.11
Latvia,cattle_meat,40604.58
Latvia,oilseed_products,1265513.95
Latvia,other_cereals,3855.18
Latvia,other_crops,48083.01
Latvia,plant_fibres,3624.98
Latvia,rice,14076.12
Latvia,sugar,2203.3
Latvia,veg_fruits_nuts,26245.66
Latvia,wheat,1308.84
Lithuania,cattle_meat,76800.49
Lithuania,oilseed_products,310831.41
Lithuania,other_cereals,4252.57
Lithuania,other_crops,56158.74
Lithuania,plant_fibres,2804.42
Lithuania,rice,26973.65
Lithuania,sugar,4525.78
Lithuania,veg_fruits_nuts,68295.2
Lithuania,wheat,2380.93
Luxembourg,cattle_meat,233235.14
Luxembourg,oilseed_products,587190.46
Luxembourg,other_cereals,11348.63
Luxembourg,other_crops,71153.39
Luxembourg,plant_fibres,11726.18
Luxembourg,rice,62844.04
Luxembourg,sugar,10767.54
Luxembourg,veg_fruits_nuts,330585.76
Luxembourg,wheat,5444.2
Malta,cattle_meat,29061.58
Malta,oilseed_products,43464.72
Malta,other_cereals,2580.52
Malta,other_crops,5326.24
Malta,plant_fibres,599.23
Malta,rice,8062.01
Malta,sugar,1832.35
Malta,veg_fruits_nuts,13093.05
Malta,wheat,3834.11
Mexico,other_cereals,565185.08
Mexico,other_crops,1034295.69
Mexico,plant_fibres,217398.9
Mexico,rice,583424.93
Mexico,sugar,1485267.67
Mexico,veg_fruits_nuts,1175842.5
Netherlands,other_cereals,161290.96
Netherlands,other_crops,1028649.14
Netherlands,plant_fibres,79139.25
Netherlands,rice,558469.73
Netherlands,sugar,96502.59
Netherlands,veg_fruits_nuts,2036285.65
Netherlands,wheat,79580.12
Norway,cattle_meat,749119.08
Norway,oilseed_products,1366706.87
Norway,other_cereals,31799.41
Norway,other_crops,191421.88
Norway,plant_fibres,24869.35
Norway,rice,184692.7
Norway,sugar,39204.27
Norway,veg_fruits_nuts,506861.53
Norway,wheat,27546.77
Poland,cattle_meat,763465.24
Poland,oilseed_products,2074286.01
Poland,other_cereals,53028.0
Poland,other_crops,894945.38
Poland,plant_fibres,33763.77
Poland,rice,319303.24
Poland,sugar,47152.99
Poland,veg_fruits_nuts,580324.83
Poland,wheat,26527.76
Portugal,cattle_meat,558956.89
Portugal,oilseed_products,1310626.69
Portugal,other_cereals,38383.0
Portugal,other_crops,185527.94
Portugal,plant_fibres,77671.24
Portugal,rice,169930.57
Portugal,sugar,44677.38
Portugal,veg_fruits_nuts,283065.55
Portugal,wheat,14244.59
Romania,cattle_meat,174309.67
Romania,oilseed_products,470189.27
Romania,other_cereals,14842.77
Romania,other_crops,324767.09
Romania,plant_fibres,9269.56
Romania,rice,80107.31
Romania,sugar,16564.79
Romania,veg_fruits_nuts,93069.58
Romania,wheat,11163.29
Russia,other_cereals,152170.5
Russia,other_crops,1916756.1
Russia,plant_fibres,115935.77
Russia,rice,879541.05
Russia,sugar,185542.48
Russia,wheat,96894.08
Slovakia,cattle_meat,143059.61
Slovakia,oilseed_products,271578.57
Slovakia,other_cereals,8106.45
Slovakia,other_crops,266846.09
Slovakia,plant_fibres,6469.71
Slovakia,rice,86509.56
Slovakia,sugar,9069.36
Slovakia,veg_fruits_nuts,175408.14
Slovakia,wheat,4295.64
Slovenia,cattle_meat,85489.53
Slovenia,oilseed_products,572982.14
Slovenia,other_cereals,4613.3
Slovenia,other_crops,149155.35
Slovenia,plant_fibres,6991.43
Slovenia,rice,31055.67
Slovenia,sugar,4687.65
Slovenia,veg_fruits_nuts,55006.45
Slovenia,wheat,2438.45
South Africa,cattle_meat,754726.7
South Africa,oilseed_products,1721684.74
South Africa,other_cereals,71682.88
South Africa,other_crops,239191.04
South Africa,plant_fibres,77396.11
South Africa,rice,361538.27
South Africa,sugar,49641.0
South Africa,veg_fruits_nuts,494527.81
South Africa,wheat,134537.93
South Korea,cattle_meat,2043251.97
South Korea,other_cereals,315506.94
South Korea,plant_fibres,192290.55
South Korea,rice,1084509.0
South Korea,sugar,502804.26
South Korea,veg_fruits_nuts,1924324.29
South Korea,wheat,73671.97
Spain,other_cereals,195823.97
Spain,other_crops,1786477.53
Spain,plant_fibres,132600.07
Spain,rice,897880.37
Spain,sugar,187946.95
Spain,veg_fruits_nuts,2311511.8
Spain,wheat,102990.01
Sweden,cattle_meat,948030.97
Sweden,oilseed_products,1504152.86
Sweden,other_cereals,32694.62
Sweden,other_crops,274329.87
Sweden,plant_fibres,20105.13
Sweden,rice,219572.27
Sweden,sugar,38577.67
Sweden,veg_fruits_nuts,414927.76
Sweden,wheat,18330.84
Switzerland,cattle_meat,1407377.46
Switzerland,oilseed_products,1448246.44
Switzerland,other_cereals,50886.19
Switzerland,other_crops,404524.4
Switzerland,plant_fibres,88393.97
Switzerland,rice,314667.51
Switzerland,sugar,59978.78
Switzerland,veg_fruits_nuts,718582.34
Switzerland,wheat,27841.84
Taiwan,cattle_meat,1428216.96
Taiwan,other_cereals,55633.26
Taiwan,other_crops,2661326.26
Taiwan,plant_fibres,58240.71
Taiwan,rice,822301.35
Taiwan,sugar,208915.42
Taiwan,veg_fruits_nuts,2049161.22
Taiwan,wheat,23939.79
Turkey,cattle_meat,2648285.52
Turkey,other_cereals,76312.57
Turkey,other_crops,1401183.02
Turkey,plant_fibres,210172.03
Turkey,rice,391899.65
Turkey,sugar,57768.27
Turkey,veg_fruits_nuts,612041.25
Turkey,wheat,188065.2
United Kingdom,other_cereals,248065.46
United Kingdom,other_crops,2119805.96
United Kingdom,plant_fibres,243161.08
United Kingdom,rice,1279478.69
United Kingdom,sugar,334100.38
United Kingdom,wheat,119004.48
United States,other_cereals,1027923.64
United States,plant_fibres,1347982.87
United States,sugar,1585694.68
United States,wheat,761894.51
